Source Table,ID,Variable Name,Unit,Additional information
Pharma,1000324,Plavix Tbl 75 mg,,
Pharma,1000839,Brilique Tbl 90 mg,,
Pharma,1000790,Efient Tbl 10 mg,,
Pharma,1000789,Efient Tbl 5 mg,,
Pharma,1001102,Aggrastat Inf Lsg,,
Pharma,1000614,ReoPro,,
Pharma,1000785,Novasource GI Forte + Fasern,,
Pharma,1000804,Promote Fibres Plus,,
Pharma,1000216,Isosource Standard,,
Pharma,1000573,Survimed OPD,,
Pharma,1001029,Isosource Protein,,
Pharma,1000731,Novasource,,
Pharma,1001066,Survimed OPD HN,,
Pharma,1000665,Nepro,,
Pharma,1000714,Freka MIx 2000 ml,,
Pharma,1000805,SmofKabiven NL 1500 ml +F;+E,,
Pharma,1000806,SmofKabiven NL 2000 ml +F;+E,,
Pharma,1000807,StructoKabiven NL 1500 ml +F; - E,,
Pharma,1000852,SmofKabiven NL1970 ml +F;-E,,
Pharma,1000558,Nutriflex lipid spez 1250ml,,
Pharma,1000559,Nutriflex lipid spez 1875ml,,
Pharma,1000560,Nutriflex spez 1000ml -F; - E,,
Pharma,1000561,Nutriflex spez 1000 ml; ohne Fett,,
Pharma,1000694,Nutriflex lipid spezial oE,,
Pharma,107,Liquemin 5000 U/ml,,
Pharma,1000373,Heparin Bichsel 500 E/ 5 ml,,
Pharma,1000451,Fraxiparine,,
Pharma,1000831,Fraxiparine 0.3 ml s/c,,
Pharma,1000832,Fraxiparine 0.4 ml s/c,,
Pharma,1000833,Fraxiparine 0.6 ml s/c,,
Pharma,1000834,Fraxiparine 0.8 ml s/c,,
Pharma,1000863,Clexane 0.2 ml s/c,,
Pharma,1000864,Clexane 0.4 ml s/c,,
Pharma,1000865,Clexane 0.8 ml s/c,,
Pharma,1000895,Clexane 0.6 ml s/c,,
Pharma,1001016,Clexane 1.0 ml s/c,,
Pharma,1000889,Calciparine 12500 E/ 0.5ml,,
Pharma,1000597,Calciparine,,
Pharma,1000841,Argatra Inf Lsg,,
Pharma,1000404,Refludan Trockensubst 50 mg,,
Pharma,1000476,Marcoumar Tbl,,
Pharma,1000494,Protamin 1000 Inj Lsg,,
Pharma,1001010,Cyklokapron Infusion,,
Pharma,27,Cyklokapron inj 100 mg/ml,,
Pharma,1000396,Kalium Chlorid 15% 10 ml,,
Pharma,1000080,K-Cl conc,,
Pharma,1000612,Kalium-Chlorid Sirup,,
Pharma,1000398,KCL Retard Zyma Drag,,
Pharma,1000393,Kalium Effervetten,,
Pharma,1001063,KCL ret. Hausmann Drg 10mmol (745mg),,
Pharma,1000569,K-Phosphat Perfusor,,
Pharma,1000568,K-Cl-Perfusor,,
Pharma,1000395,Kalium Phosphat,,
Pharma,1000836,Kalium Phosphat für Perfusor,,
Pharma,1000394,Phoscap Phosphat-Kps,,
Pharma,1000082,K-Pi conc,,
Pharma,1000729,Na-Posph conc,,
Pharma,1000546,NaCl 2.5%,,
Pharma,1000090,NaCl conc Amp 14.5%,,
Pharma,1001055,Kochsalz Tbl 1g,,
Pharma,1000421,Magnesium Sulfat 50% 10 ml,,
Pharma,1000420,Magnesiocard 5 mmol sachet,,
Pharma,1000070,Mg-Sulfat conc,,
Pharma,1000687,Calciumchlorid 5%,,
Pharma,1000290,Ca-Acetat-Phopshatbinder 400 mg,,
Pharma,1000291,Calcium Sandoz FF Brausetabl 1000 mg,,
Pharma,1000292,Calcium Sandoz Lsg 10% 10 ml,,
Pharma,1000170,Trace elements,,
Pharma,1000540,$  name session,,
Pharma,1000453,Na-Bicarbonat Inf Lsg 8.4%,,
Pharma,1000193,Na- Bicarbonat 8.4%,,
Pharma,1000571,Na-Bicarbonat 1.4%,,
Pharma,1000478,Phenhydan Inf Lsg 750 mg,,
Pharma,1000676,Keppra,,
Pharma,1000756,Keppra 500 mg Amp. i.v,,
Pharma,1000857,Ketalar Perfusor,,
Pharma,1000534,Orfiril Inj Lösung,,
Pharma,304,Phenhydan tabl 100 mg,,
Pharma,230,Phenhydan inj 50 mg/ml 5 ml,,
Pharma,1000533,Orfiril Sirup,,
Pharma,1000779,Lamictal Tbl 100 mg,,
Pharma,1001056,Vimpat Tbl. 50 mg,,
Pharma,1000850,Lamotrigin Tbl 100 mg,,
Pharma,1000531,Orfiril long Ret Kps 150 mg,,
Pharma,1000269,Saroten ret Kps 25 mg,,
Pharma,1000778,Lamictal Tbl 25 mg,,
Pharma,1000851,Lamotrigin Tbl 25 mg,,
Pharma,1000502,Zoloft Tbl 50 mg,,
Pharma,1000775,Trileptal Tbl 600 mg,,
Pharma,1000774,Trileptal Tbl 300 mg,,
Pharma,1001175,Levetiracetam Inf Lsg,,
Pharma,1000370,Haldol Inj Lsg 5 mg/ml,,
Pharma,1000600,Remeron Tbl 30 mg,,
Pharma,1000874,Seroquel Tbl 25mg,,
Pharma,1000482,Dipiperon Tbl 40 mg,,
Pharma,1000875,Seroquel Tbl 100 mg,,
Pharma,1000945,Remeron subligual 15 mg,,
Pharma,1000371,Haldol Trpf 2mg/ml,,
Pharma,239,Haloperidol inj 2.5 mg/ml,,
Pharma,1000728,Catapresan 25µg /ml Perfusor,,
Pharma,380,Catapresan Tabl 150 mikrogr,,
Pharma,1000409,Nozinan Tbl 25 mg,,
Pharma,1000410,Nozinan Inj Lsg,,
Pharma,1001094,Quetiapin Tbl 100 mg,,
Pharma,1000323,Distraneurin Mixt 500 mg/10 ml,,
Pharma,1001074,Quetiapin Tbl 25 mg,,
Pharma,1000780,Risperdal Tbl 1 mg,,
Pharma,1000316,Seropram Tbl 20 mg,,
Pharma,1001002,Citalopram Tbl 20mg,,
Pharma,1000982,Trittico Tbl 50 mg,,
Pharma,1000983,Trittico Tbl 100 mg,,
Pharma,1000796,Lyrica Kps 75 mg,,
Pharma,1000846,Lyrica Kps 25 mg,,
Pharma,1000782,Efexor Kps 75 mg,,
Pharma,1000595,Zyprexa Filmtbl. 5 mg,,
Pharma,1000777,Tegretol CR Tbl 400 mg,,
Pharma,1000776,Tegretol CR Tbl 200 mg,,
Pharma,1001006,Surmontil Trpf 4%,,
Pharma,1000287,Pulmicort Inhal Lsg 0.25 mg/ml,,
Pharma,1000997,Symbicort 200/60,,
Pharma,1000286,Pulmicort Dosieraerosol 0.2mg,,
Pharma,1000996,Symbicort 100/60,,
Pharma,1000974,Seretide 250 Disk,,
Pharma,1000388,Atrovent Inhal Lsg 0.25 mg/2ml,,
Pharma,1000389,Atrovent N Dosieraerosol,,
Pharma,260,Ventolin inhal 0.5% 5 mg/ml,,
Pharma,1000499,Ventolin Dosieraerosol 0.1 mg,,
Pharma,1001060,Ventolin Inhal Lsg 0.05%,,
Pharma,1000416,Thyrotardin 100 ug,,
Pharma,153,Euthyrox tabl 0.1 mg,,
Pharma,1001059,Thyroxin TS Amp 500 ug/5ml,,
Pharma,1000914,Euthyrox Tabl 50 µg,,
Pharma,1001004,Eltroxin Tbl 0.10mg,,
Pharma,1001003,Eltroxin Tbl 0.05mg,,
Pharma,1000296,Neo-Mercazole Tabl 5 mg,,
Pharma,1000599,Florinef Tbl 0.1mg,,
Pharma,1000615,Xyzal Tbl. 5 mg,,
Pharma,1000319,Tavegyl Inj Lsg 2mg/2ml,,
Pharma,1000680,Chemotherapie,,
Pharma,1000263,Actilyse,,
Pharma,1000840,Actilyse Amp.20mg  Lsg.,,
Pharma,1000823,Actilyse Amp.50mg Lsg,,
Pharma,1000528,Urokinase 100000 U,,
Pharma,1000529,Urokinase 500000,,
Pharma,1000498,Esmeron Inj Lsg 50 mg,,
Pharma,199,Tracrium inj 10 mg/ml,,
Pharma,1000822,Tracrium Perfusor,,
Pharma,198,Norcuron inj 4mg/ml,,
Pharma,1000509,Succinolin 100mg/ 2ml,,
Pharma,197,Pavulon inj 2 mg/ml,,
Pharma,1000356,Anexate 0.5mg/ 5 ml,,
Pharma,1000452,Narcan Inj Lsg,,
Pharma,1000386,Ilomedin Inj Lsg 50ug/2.5 ml,,
Pharma,1001101,Ilomedin 20 ug/ml Inf Lsg,,
Pharma,1000610,Viagra Tbl. 50 mg,,
Pharma,1001089,Tracleer Tabl 62.5 mg,,
Pharma,1001058,Revatio Filmtbl 20 mg,,
Pharma,1000808,Ventavis Inhal Lsg,,
Pharma,1000470,Creon forte Kps,,
Pharma,1000899,Creon Kps,,
Pharma,1000793,Glypressin Inj Lsg,,
Pharma,1001061,Haemopressin TS Inj Lsg,,
Pharma,1000376,Octagam Inf Lsg,,
Pharma,1001042,Intratect10% Inf Lsg 10 g/100ml,,
Pharma,1001026,Privigen 20g Inf Lsg,,
Pharma,1001043,Intratect10% Inf Lsg 20 g/200ml,,
Pharma,1000814,Intratect 10g Inf Lsg,,
Pharma,1001025,Privigen 10g Inf Lsg,,
Pharma,1000757,Simulect Inj Lsg,,
Pharma,1001024,Privigen 5g Inf Lsg,,
Pharma,1001041,Intratect10% Inf Lsg  5 g/50 ml,,
Pharma,1000276,ATG Fresenius 100mg/5 ml,,
Pharma,1000510,Prograf Kps 1mg,,
Pharma,1000730,CellCept Susp,,
Pharma,1000448,CellCept Tbl 500 mg,,
Pharma,1000314,Sandimmun Neoral Trinklsg 100 mg,,
Pharma,1000311,Sandimmun Neoral Kps 100 mg,,
Pharma,1000511,Prograf Kps 5 mg,,
Pharma,1000281,Imurek Tabl 50 mg,,
Pharma,1000312,Sandimmun Neoral Kps 50 mg,,
Pharma,1000280,Imurek Stechamp. 50 mg,,
Pharma,1000313,Sandimmun Neoral Kps 25 mg,,
Pharma,1000942,Prograf Kps 0.5mg,,
Pharma,1001070,Grafalon Inf Lsg,,
Pharma,1000504,Rapamune Tbl 1mg,,
Pharma,1001035,Certican Tbl.à 0.25 mg,,
Pharma,1000892,CellCept Amp 500 mg,,
Pharma,1001031,Sandimmun Neoral Kps 10 mg,,
Pharma,1000786,CellCept Kps 250 mg,,
Pharma,1000310,Sandimmun 50 mg/ml,,
Pharma,1000515,Benerva Tbl 300 mg,,
Pharma,1000516,Benerva Inj Lsg 100mg/1 ml,,
Pharma,1000538,Becozym forte Drag,,
Pharma,1000882,Benerva Tbl 100 mg,,
Pharma,1000740,Becotal Inj Lsg,,
Pharma,1000537,Beco 5 Inj Lsg,,
Pharma,1000926,Madopar LIQ Tbl 62.5,,
Pharma,1000285,Akineton Inj Lsg 5 mg/ml,,
Pharma,1000772,Madopar DR Tbl 200 mg,,
Pharma,1001045,Madopar Tbl 125 mg,,
Pharma,1000266,PK-Merz 500 ml,,
Pharma,1000406,Madopar LIQ 125 mg Tbl,,
Pharma,1000620,Neupogen 48 Mio U,,
Pharma,1000619,Neupogen 30 Mio U,,
